,Year,Other activity attacks,Surf related attacks,Total attacks,Surf at. Perc,Other at. Perc
0,1900,12,0,12,0,100
1,1901,9,0,9,0,100
2,1902,13,0,13,0,100
3,1903,9,0,9,0,100
4,1904,13,0,13,0,100
5,1905,15,0,15,0,100
6,1906,19,0,19,0,100
7,1907,21,0,21,0,100
8,1908,11,0,11,0,100
9,1909,15,0,15,0,100
10,1910,11,1,12,8,91
11,1911,15,0,15,0,100
12,1912,11,0,11,0,100
13,1913,8,0,8,0,100
14,1914,15,0,15,0,100
15,1915,8,0,8,0,100
16,1916,23,0,23,0,100
17,1917,11,0,11,0,100
18,1918,4,1,5,20,80
19,1919,14,0,14,0,100
20,1920,13,0,13,0,100
21,1921,9,0,9,0,100
22,1922,19,1,20,5,95
23,1923,18,0,18,0,100
24,1924,19,0,19,0,100
25,1925,10,0,10,0,100
26,1926,19,0,19,0,100
27,1927,16,2,18,11,88
28,1928,20,1,21,4,95
29,1929,30,3,33,9,90
30,1930,21,0,21,0,100
31,1931,25,0,25,0,100
32,1932,23,0,23,0,100
33,1933,20,0,20,0,100
34,1934,26,1,27,3,96
35,1935,25,2,27,7,92
36,1936,29,1,30,3,96
37,1937,26,1,27,3,96
38,1938,22,2,24,8,91
39,1939,20,0,20,0,100
40,1940,22,0,22,0,100
41,1941,24,0,24,0,100
42,1942,36,0,36,0,100
43,1943,26,0,26,0,100
44,1944,25,2,27,7,92
45,1945,14,0,14,0,100
46,1946,21,1,22,4,95
47,1947,24,4,28,14,85
48,1948,24,1,25,4,96
49,1949,24,2,26,7,92
50,1950,37,4,41,9,90
51,1951,24,3,27,11,88
52,1952,25,3,28,10,89
53,1953,30,2,32,6,93
54,1954,34,0,34,0,100
55,1955,37,2,39,5,94
56,1956,45,3,48,6,93
57,1957,32,2,34,5,94
58,1958,46,2,48,4,95
59,1959,78,3,81,3,96
60,1960,83,2,85,2,97
61,1961,71,1,72,1,98
62,1962,70,5,75,6,93
63,1963,54,4,58,6,93
64,1964,59,4,63,6,93
65,1965,42,5,47,10,89
66,1966,51,2,53,3,96
67,1967,38,2,40,5,95
68,1968,32,5,37,13,86
69,1969,19,4,23,17,82
70,1970,36,3,39,7,92
71,1971,15,6,21,28,71
72,1972,22,7,29,24,75
73,1973,18,4,22,18,81
74,1974,30,5,35,14,85
75,1975,31,11,42,26,73
76,1976,27,6,33,18,81
77,1977,19,3,22,13,86
78,1978,15,6,21,28,71
79,1979,18,4,22,18,81
80,1980,26,6,32,18,81
81,1981,31,15,46,32,67
82,1982,25,10,35,28,71
83,1983,30,14,44,31,68
84,1984,28,10,38,26,73
85,1985,28,6,34,17,82
86,1986,20,15,35,42,57
87,1987,21,10,31,32,67
88,1988,30,21,51,41,58
89,1989,31,19,50,38,62
90,1990,16,19,35,54,45
91,1991,27,10,37,27,72
92,1992,34,19,53,35,64
93,1993,38,14,52,26,73
94,1994,27,25,52,48,51
95,1995,44,24,68,35,64
96,1996,34,19,53,35,64
97,1997,31,23,54,42,57
98,1998,34,29,63,46,53
99,1999,37,27,64,42,57
100,2000,64,28,92,30,69
101,2001,48,35,83,42,57
102,2002,53,32,85,37,62
103,2003,47,42,89,47,52
104,2004,60,29,89,32,67
105,2005,57,39,96,40,59
106,2006,65,30,95,31,68
107,2007,70,41,111,36,63
108,2008,70,46,116,39,60
109,2009,73,40,113,35,64
110,2010,61,37,98,37,62
111,2011,81,42,123,34,65
112,2012,61,49,110,44,55
113,2013,79,33,112,29,70
114,2014,77,41,118,34,65
115,2015,89,44,133,33,66
116,2016,65,32,97,32,67
